crash_date,crash_level,crash_record,crash_address,crash_impaired,num_vehicles,acc_persons,pedestrians,latitude,longitude
1/1/2023 0:00,Fatal,20230001329,Murfreesboro Pke & Elm Hill Pke,No Impaired Drivers,1 Vehicle,1 Person,1 Pedestrian,36.1446,-86.7497
1/1/2023 0:00,Injury,20230000199,N Dupont Av & Myatt Dr,Driver Impaired,2 Vehicles,3 Persons,No Pedestrians,36.2665,-86.6901
1/1/2023 0:00,Injury,20230000803,The Overlook Pvtdr & Bell Rd,No Impaired Drivers,3 Vehicles,7 Persons,No Pedestrians,36.055,-86.6424
1/1/2023 0:00,Injury,20230001271,Donelson Pke & Lakeland Dr,No Impaired Drivers,1 Vehicle,3 Persons,No Pedestrians,36.1552,-86.6652
1/1/2023 0:00,Property,20230000135,Mm 40 9 I 24,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.273,-86.7956
1/1/2023 0:00,Property,20230000168,Lake Maxwell Dr & Trailwater Dr,No Impaired Drivers,3 Vehicles,2 Persons,No Pedestrians,36.039,-86.5718
1/1/2023 0:00,Property,20230000304,I40 E Ext Ramp & I 40,No Impaired Drivers,2 Vehicles,8 Persons,No Pedestrians,36.1487,-86.7463
1/1/2023 0:00,Property,20230000351,Briley Pkwye & Briley Pkwyw,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.235,-86.7137
1/1/2023 0:00,Property,20230000423,Murfreesboro Pke & Ransom Pl,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.0879,-86.6493
1/1/2023 0:00,Property,20230000537,Murfreesboro Pke & Air Freight Blvd,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.109,-86.6799
1/1/2023 0:00,Property,20230000567,315 Plus Park Blvd,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1317,-86.7253
1/1/2023 0:00,Property,20230000721,Cockrill St & 17th Ave N,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1745,-86.8069
1/1/2023 0:00,Property,20230001313,Edmondson Pke & Whispering Hills Dr,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0731,-86.7323
1/1/2023 0:00,Property,20230001352,Mm 55 7 I 24,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.0863,-86.7004
1/1/2023 0:00,Property,20230001394,N Hilson Dr & Westcrest Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0569,-86.7303
1/1/2023 0:13,Fatal,20230000037,Neelys Bend Rd & Neelys Chase Dr,Driver Impaired,1 Vehicle,2 Persons,No Pedestrians,36.2551,-86.7024
1/1/2023 0:13,Property,20230000044,Old Hickory Blvd & Nolensville Pke,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0454,-86.7128
1/1/2023 0:38,Injury,20230000191,Hamilton Ave & Hagan St,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1388,-86.7713
1/1/2023 1:15,Property,20230000142,17th Avn & Church St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1559,-86.796
1/1/2023 1:16,Property,20230000203,Rosa L Parks Blvd & 10th Cirn,No Impaired Drivers,2 Vehicles,8 Persons,No Pedestrians,36.1676,-86.7878
1/1/2023 1:20,Property,20230000166,Industrial Dr & Industrial Dr Pvtdr,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.2659,-86.6574
1/1/2023 1:20,Property,20230000550,Hampton St & Us Hwy 431,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.2076,-86.7787
1/1/2023 1:30,Property,20230002162,Mm 55 0 I 24,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.0948,-86.7072
1/1/2023 1:34,Injury,20230000178,Briley Pkwy & I40 W Ext Ramp,No Impaired Drivers,3 Vehicles,7 Persons,No Pedestrians,36.153,-86.8576
1/1/2023 2:00,Property,20230000259,Woodland St & Mcferrin Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1757,-86.7547
1/1/2023 2:16,Injury,20230000230,Rice Rd & Bell Rd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0633,-86.6374
1/1/2023 2:20,Property,20230000410,Old Hickory Blvd & Nolensville Pke,No Impaired Drivers,2 Vehicles,9 Persons,No Pedestrians,36.0454,-86.7133
1/1/2023 2:22,Injury,20230000241,Mt View Rd & Crossings Blvd,No Impaired Drivers,2 Vehicles,8 Persons,No Pedestrians,36.0455,-86.6473
1/1/2023 2:25,Injury,20230000313,Ransom Pl & Capital Funds Ct,No Impaired Drivers,2 Vehicles,6 Persons,No Pedestrians,36.0888,-86.6508
1/1/2023 2:25,Injury,20230000507,546 Roosevelt Av,Driver Impaired,3 Vehicles,2 Persons,No Pedestrians,36.271,-86.6979
1/1/2023 2:28,Injury,20230000322,Bell Rd & Brittany Park Dr,No Impaired Drivers,3 Vehicles,9 Persons,No Pedestrians,36.0469,-86.6796
1/1/2023 2:33,Property,20230000242,Murfreesboro Pke & Edge O Lake Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0795,-86.6446
1/1/2023 2:40,Injury,20230000257,Tulip Grove Rd & Chandler Rd,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1997,-86.592
1/1/2023 2:58,Property,20230000278,Edmondson Pke & Wallace Rd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0771,-86.7256
1/1/2023 3:02,Property,20230000663,Nottingham Dr & Tux Ct,No Impaired Drivers,3 Vehicles,1 Person,No Pedestrians,36.2596,-86.6774
1/1/2023 3:04,Property,20230000288,Shelby Av & S 11th St,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1713,-86.7508
1/1/2023 3:45,Injury,20230000332,Whites Creek Pke & Tranham Rd,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.2777,-86.8339
1/1/2023 3:59,Injury,20230000321,Nolensville Pke & Old Hickory Blvd,Driver Impaired,3 Vehicles,6 Persons,No Pedestrians,36.0457,-86.7133
1/1/2023 4:00,Injury,20230000331,Symphony Pl & Shelby St Pedestrian Bridg,No Impaired Drivers,1 Vehicle,3 Persons,1 Pedestrian,36.1603,-86.7757
1/1/2023 4:00,Property,20230000349,Old Hickory Blvdw & N Marthona Rd,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.2645,-86.7309
1/1/2023 4:50,Injury,20230000352,Mm 211 6 I 40,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1509,-86.7504
1/1/2023 5:02,Property,20230000422,I40 E Ent Ramp & I 40,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1552,-86.7599
1/1/2023 6:00,Injury,20230000411,Edmondson Pke & Whispering Hills Dr,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.0723,-86.7328
1/1/2023 6:30,Injury,20230000425,Old Hickory Blvd & Hickory Springs Rd,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.0413,-86.8223
1/1/2023 7:00,Property,20230000757,Ramp & Us Hwy 41 Alt,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.2272,-86.8358
1/1/2023 7:11,Property,20230000455,Mm 211 1 I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1537,-86.7567
1/1/2023 8:00,Property,20230000703,Bell Rd & Brentridge Dr,No Impaired Drivers,3 Vehicles,2 Persons,No Pedestrians,36.0458,-86.6848
1/1/2023 8:05,Property,20230000506,Mm 36 1 I 24,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.3192,-86.8478
1/1/2023 9:30,Property,20230000569,Mm 211 6 I 40,Driver Impaired,1 Vehicle,1 Person,No Pedestrians,36.1505,-86.7495
1/1/2023 10:39,Property,20230000733,1 Edge O Lake Dr,Driver Impaired,2 Vehicles,1 Person,No Pedestrians,36.0796,-86.6441
1/1/2023 11:19,Property,20230000681,I440 W Ext Ramp & I 440,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1377,-86.8207
1/1/2023 11:40,Property,20230000709,Old Hickory Blvd & Pratt Property Pvtdr,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.0344,-86.694
1/1/2023 12:08,Property,20230000686,Pullen Av & Meridian St,No Impaired Drivers,2 Vehicles,1 Person,No Pedestrians,36.2004,-86.7649
1/1/2023 12:24,Injury,20230000734,Hillsboro Pke & Woodmont Blvd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1141,-86.8109
1/1/2023 12:29,Injury,20230000716,1st Avs & 1st Avn,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1622,-86.7744
1/1/2023 13:14,Property,20230000921,Gallatin Pken & Rivergate Marketplace Pv,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.3027,-86.6919
1/1/2023 13:24,Injury,20230000813,Galaatin Pike & Sr,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1801,-86.7498
1/1/2023 13:25,Injury,20230000781,Us Hwy 70 & Brook Hollow Rd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1358,-86.8852
1/1/2023 14:42,Property,20230000886,Charlotte Pke & Lellyett St,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.149,-86.8635
1/1/2023 15:08,Property,20230001199,Hamilton Church Rd & Hobson Pke,No Impaired Drivers,2 Vehicles,7 Persons,No Pedestrians,36.0594,-86.5997
1/1/2023 15:23,Injury,20230000863,14th Avn & Church St,No Impaired Drivers,3 Vehicles,4 Persons,No Pedestrians,36.1579,-86.7916
1/1/2023 15:40,Injury,20230000894,Bell Rd & Old Hickory Blvd,Driver Impaired,2 Vehicles,5 Persons,No Pedestrians,36.0453,-86.7017
1/1/2023 17:08,Injury,20230001007,Andrew Jackson Way & Old Hickory Blvd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1823,-86.608
1/1/2023 17:30,Injury,20230001057,Murfreesboro Pke & Fesslers Ln,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1428,-86.7444
1/1/2023 18:20,Property,20230001102,Smith Springs Rd & Rural Hill Rd,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.0897,-86.6228
1/1/2023 19:07,Property,20230001118,21st Avs & West End Av,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1505,-86.8012
1/1/2023 19:13,Injury,20230001135,Orleans Dr & West End Av,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1394,-86.8191
1/1/2023 19:20,Property,20230001136,1100 Antioch Pke,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.097,-86.7064
1/1/2023 20:36,Property,20230001251,Mm 88 0 I 65,Driver Impaired,1 Vehicle,1 Person,No Pedestrians,36.2163,-86.7751
1/1/2023 20:55,Injury,20230001216,Mm 58 3 I 24,No Impaired Drivers,3 Vehicles,6 Persons,No Pedestrians,36.0552,-86.6746
1/1/2023 21:39,Property,20230001280,Rosa L Parks Blvd & Charlotte Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1638,-86.7864
1/1/2023 22:20,Property,20230001357,4th Avs & I40 E Ext Ramp,No Impaired Drivers,2 Vehicles,7 Persons,No Pedestrians,36.1507,-86.7705
1/1/2023 23:18,Injury,20230001424,Old Hickory Blvdw & Douglas St,No Impaired Drivers,3 Vehicles,4 Persons,No Pedestrians,36.2633,-86.7146
1/1/2023 23:26,Property,20230001449,5700 Old Hickory Blvd,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.0397,-86.744
1/2/2023 0:00,Property,20230002323,Shorewood Path & Pineorchard Pl,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0485,-86.6209
1/2/2023 0:00,Property,20230002423,I24 W Ext Ramp & I 24,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1334,-86.7264
1/2/2023 0:00,Property,20230003299,Willard Dr & Margo Ln,Driver Impaired,1 Vehicle,1 Person,No Pedestrians,36.074,-86.7018
1/2/2023 0:36,Property,20230001572,Mm 86 5 I 65,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1923,-86.7771
1/2/2023 0:50,Property,20230001587,Clay Lick Rd & Clay Lick Ct,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.3111,-86.8256
1/2/2023 2:50,Injury,20230001712,Mm 58 5 I 24,Driver Impaired,1 Vehicle,1 Person,No Pedestrians,36.0527,-86.6722
1/2/2023 3:03,Property,20230001725,Grandview Dr & Crestview Dr,No Impaired Drivers,4 Vehicles,3 Persons,No Pedestrians,36.1088,-86.7986
1/2/2023 4:30,Property,20230001801,East Thompson Ln & East Thompson Ln Pvtd,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1103,-86.7272
1/2/2023 4:35,Injury,20230001803,Douglas Av & Scott Av,No Impaired Drivers,3 Vehicles,1 Person,No Pedestrians,36.192,-86.738
1/2/2023 4:45,Property,20230001817,Mm 53 2 I 24,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1156,-86.7248
1/2/2023 4:54,Injury,20230001820,Tulip Grove Rd & Rockwood Dr,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1745,-86.5948
1/2/2023 7:25,Property,20230001977,Bell Rd & Ned Shelton Rd,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.106,-86.6292
1/2/2023 9:27,Property,20230002144,Amalie Dr & Mcmurray Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0545,-86.7253
1/2/2023 10:20,Property,20230002250,Mm 85 0 I 65,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1825,-86.7993
1/2/2023 12:00,Property,20230002397,Charlotte Pke & Watts Ln,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1438,-86.8734
1/2/2023 12:40,Injury,20230002466,Clarksville Pke & North Gate Shopping Ct,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2006,-86.8393
1/2/2023 12:47,Injury,20230002410,Mm 193 0 I 40,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0771,-87.0122
1/2/2023 12:47,Property,20230002426,Gallatin Pkes & Moving Center Ct,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2501,-86.7189
1/2/2023 13:00,Property,20230002447,Cloverland Dr & Seven Springs Way,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0398,-86.7684
1/2/2023 13:36,Property,20230002507,Vandiver Dr & N Dupont Av,No Impaired Drivers,3 Vehicles,1 Person,No Pedestrians,36.2655,-86.6797
1/2/2023 14:31,Property,20230002591,Gallatin Pke & Litton Av,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2029,-86.7389
1/2/2023 15:00,Property,20230002552,Mm 37 1 I 24,No Impaired Drivers,3 Vehicles,7 Persons,No Pedestrians,36.315,-86.8328
1/2/2023 15:29,Injury,20230002642,Gallatin Pkes & Madison Sq,No Impaired Drivers,1 Vehicle,2 Persons,1 Pedestrian,36.2532,-86.7168
1/2/2023 15:30,Property,20230002775,Seven Points Cir & Lake Reserve Cv,No Impaired Drivers,2 Vehicles,1 Person,No Pedestrians,36.1471,-86.5759
1/2/2023 15:54,Property,20230002684,Gallatin Pke & Gillock St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2138,-86.731
1/2/2023 16:15,Property,20230002916,7100 Highway 70s,No Impaired Drivers,3 Vehicles,6 Persons,No Pedestrians,36.074,-86.9245
1/2/2023 16:18,Injury,20230002725,Mm 89 2 I 65,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.2329,-86.7688
1/2/2023 16:28,Injury,20230002772,Gallatin Pken & Old Time Village Pvtdr,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.2644,-86.7115
1/2/2023 16:45,Property,20230002751,Mm 85 9 I 65,No Impaired Drivers,3 Vehicles,6 Persons,No Pedestrians,36.1914,-86.7871
1/2/2023 17:10,Property,20230002905,Kentucky Av & 52nd Avn,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1598,-86.8507
1/2/2023 17:13,Property,20230002792,0 Bell Rd,No Impaired Drivers,2 Vehicles,6 Persons,No Pedestrians,36.0834,-86.6286
1/2/2023 17:15,Property,20230002849,Lebanon Pke & Mcgavock Pke,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1695,-86.6787
1/2/2023 17:18,Property,20230002816,Saundersville Rd & Wyntergrace Farm Ct,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2279,-86.5975
1/2/2023 17:27,Injury,20230002806,Murfreesboro Pke & Mountain Springs Rd,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.0478,-86.6121
1/2/2023 17:40,Injury,20230002833,S Graycroft Av & Vantrease Rd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2572,-86.7333
1/2/2023 17:45,Injury,20230002835,Gallatin Av & Stratton Av,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.1827,-86.7488
1/2/2023 17:46,Property,20230002837,Old Hickory Blvdw & N Graycroft Av,Driver Impaired,3 Vehicles,3 Persons,No Pedestrians,36.2645,-86.7323
1/2/2023 18:00,Property,20230003028,Lutie St & Whitsett Rd,No Impaired Drivers,2 Vehicles,1 Person,No Pedestrians,36.1178,-86.7311
1/2/2023 18:18,Property,20230002946,Us Hwy 70s & Bowling Ave,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1346,-86.8251
1/2/2023 18:20,Property,20230002913,Moormans Arm Rd & Ringgold Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2156,-86.8149
1/2/2023 18:35,Injury,20230002895,Briley Pkwye & Briley Pkwyw,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2342,-86.7192
1/2/2023 19:00,Injury,20230002931,Murfreesboro Pke & Kermit Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1219,-86.705
1/2/2023 19:00,Property,20230003103,Matilda St & Marydale Dr,Driver Impaired,1 Vehicle,1 Person,No Pedestrians,36.2783,-86.7591
1/2/2023 20:50,Injury,20230003068,Gallatin Pken & Edenwold Rd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2867,-86.7054
1/2/2023 21:25,Injury,20230003101,Woodycrest Av & Terminal Ct,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.135,-86.7432
1/2/2023 21:50,Injury,20230003166,Edge O Lake Dr & Martway Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0791,-86.645
1/2/2023 22:45,Injury,20230003267,Mm 208 2 I 40,Driver Impaired,1 Vehicle,1 Person,No Pedestrians,36.1595,-86.7924
1/2/2023 23:32,Property,20230003357,20th Avn & Church St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1534,-86.8008
1/3/2023 0:00,Injury,20230005044,Robinson Rd & Hadley Village Blvd,No Impaired Drivers,1 Vehicle,4 Persons,No Pedestrians,36.2601,-86.6598
1/3/2023 0:00,Injury,20230005316,E Webster St & Gallatin Pkes,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2519,-86.7177
1/3/2023 0:00,Property,20230004046,Mm 214 1 I 40,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1419,-86.7122
1/3/2023 0:00,Property,20230004497,Lebanon Pke & Shute Ln,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.2149,-86.6039
1/3/2023 0:00,Property,20230004903,Lebanon Pke & Lady Nashville Dr,Driver Impaired,2 Vehicles,1 Person,No Pedestrians,36.216,-86.5858
1/3/2023 0:00,Property,20230005296,1200 Westchester Dr,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.2614,-86.7652
1/3/2023 0:01,Property,20230003244,14th Avn & Church St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1579,-86.7916
1/3/2023 0:06,Injury,20230003411,Mm 32 5 I 24,No Impaired Drivers,1 Vehicle,3 Persons,No Pedestrians,36.3353,-86.9081
1/3/2023 1:13,Injury,20230003543,Knights Of Columbus Blvd & I40 E Ent Ram,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1395,-86.7002
1/3/2023 6:00,Property,20230003781,Due West Avw & Saunders Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2486,-86.7286
1/3/2023 6:15,Property,20230003852,Andrew Jackson Pkwy & Old Hickory Blvd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1846,-86.6101
1/3/2023 6:47,Injury,20230003809,Mm 3 4 I440,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1165,-86.7988
1/3/2023 7:00,Property,20230003841,Anderson Rd & Sr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0735,-86.6192
1/3/2023 7:19,Property,20230003853,Mm 77 2 I 65,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0734,-86.7691
1/3/2023 7:20,Injury,20230003856,Mm 63 0 I 24,No Impaired Drivers,4 Vehicles,4 Persons,No Pedestrians,36.0093,-86.6147
1/3/2023 7:29,Injury,20230003870,Mm 56 1 I 24,No Impaired Drivers,8 Vehicles,8 Persons,No Pedestrians,36.0814,-86.6973
1/3/2023 7:29,Property,20230003888,Lucas Ln & W Trinity Ln,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2046,-86.7714
1/3/2023 7:32,Property,20230003942,Hickory Hollow Pkwy & Crossings Pl,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0435,-86.6503
1/3/2023 7:57,Injury,20230003913,Jefferson St & 2nd Avn,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1752,-86.784
1/3/2023 8:15,Property,20230003946,Murfreesboro Pke & Glengarry Dr,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1208,-86.7035
1/3/2023 8:36,Property,20230004071,Centennial Blvd & Centennial Boulevard R,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1712,-86.873
1/3/2023 9:00,Property,20230004033,Mm 200 9 I 40,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1287,-86.9004
1/3/2023 9:05,Injury,20230004075,Mm 200 8 I 40,No Impaired Drivers,2 Vehicles,6 Persons,No Pedestrians,36.1284,-86.9007
1/3/2023 9:13,Injury,20230004034,Mm 77 2 I 65,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0736,-86.7693
1/3/2023 9:13,Property,20230004038,Briley Pkwye & Briley Pkwy E Ent Ramp,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.2342,-86.72
1/3/2023 9:34,Injury,20230004058,Mm 94 0 I 65,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2872,-86.7266
1/3/2023 9:37,Property,20230004086,Murfreesboro Pke & Edge O Lake Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0795,-86.6446
1/3/2023 9:45,Property,20230004077,8.6 I 440 East,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.125,-86.7343
1/3/2023 9:59,Injury,20230004090,Briley Pkwyn & Music Valley Dr,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.227,-86.6962
1/3/2023 10:00,Property,20230004470,I440 W Ext Ramp & I 440,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1374,-86.8207
1/3/2023 10:28,Property,20230004100,Antioch Pke & Bridgeway Dr,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1001,-86.7183
1/3/2023 10:42,Injury,20230004198,3rd Avn & Gay St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1681,-86.7802
1/3/2023 10:45,Injury,20230004169,Mm 212 8 I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1407,-86.7321
1/3/2023 10:50,Injury,20230004196,Us Hwy 31 & 3rd Ave N,No Impaired Drivers,1 Vehicle,1 Person,1 Pedestrian,36.1671,-86.7796
1/3/2023 10:50,Property,20230004155,Murfreesboro Pke & Bell Rd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.071,-86.6352
1/3/2023 10:50,Property,20230004223,Antioch Pke & Mccombs Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1018,-86.7397
1/3/2023 10:50,Property,20230004246,Old Hickory Blvd & Frist Blvd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1803,-86.6065
1/3/2023 11:04,Injury,20230004207,Mm 52 8 I 24,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1208,-86.7271
1/3/2023 11:30,Property,20230004240,Skyline Commons Pvtdr & Doverside Dr,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2438,-86.7623
1/3/2023 11:46,Property,20230004259,Briley Pkwye & Briley Pkwyw,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.2414,-86.7634
1/3/2023 11:50,Property,20230004328,Kings Ln & Clarksville Pke,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2185,-86.837
1/3/2023 11:55,Injury,20230004267,Mm 91 4 I 65,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2529,-86.7396
1/3/2023 12:19,Injury,20230004315,S 7th St & Sylvan St,No Impaired Drivers,2 Vehicles,6 Persons,No Pedestrians,36.1671,-86.7566
1/3/2023 12:20,Injury,20230004303,Bell Rd & Mills Rd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1651,-86.6028
1/3/2023 12:20,Property,20230004300,Mm 201 6 I 40,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1368,-86.8919
1/3/2023 12:22,Injury,20230004307,Briley Pkwye & Briley Pkwy E Ent Ramp,No Impaired Drivers,1 Vehicle,3 Persons,No Pedestrians,36.2342,-86.7203
1/3/2023 12:29,Property,20230004335,Gould Blvd & Firestone Pkwy,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0154,-86.6162
1/3/2023 12:34,Property,20230004336,Mm 211 8 I 40,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.149,-86.7463
1/3/2023 12:39,Property,20230004389,Mm 201 1 I 40,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.131,-86.8984
1/3/2023 12:41,Property,20230004634,7648 Hwy 70 S & Hwy 70 S,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0796,-86.9526
1/3/2023 13:16,Property,20230004377,Paragon Mills Rd & Dewain Dr,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.0887,-86.7219
1/3/2023 13:34,Property,20230004407,Sawyer Brown Rd & Mountain Valley Dr,No Impaired Drivers,1 Vehicle,3 Persons,No Pedestrians,36.0987,-86.9324
1/3/2023 14:17,Injury,20230004463,West End Av & Bowling Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1347,-86.8251
1/3/2023 15:00,Injury,20230004809,Katherine St & Greenfield Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2103,-86.7285
1/3/2023 15:22,Property,20230004760,I40 W Ext Ramp & I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1442,-86.692
1/3/2023 15:23,Property,20230004837,Hart Ln & Saunders Av,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2157,-86.7378
